HUD/Ally	Sojusznik
UIMG/ConfirmGraphicsApply3	Potwierdź nowe ustawienia grafiki. Przywrócenie za: 3
UIMG/ConfirmGraphicsApply4	Potwierdź nowe ustawienia grafiki. Przywrócenie za: 4
UIMG/ConfirmGraphicsApply5	Potwierdź nowe ustawienia grafiki. Przywrócenie za: 5
UIMG/ConfirmNewChallenge	Rozpocząć nowe wyzwanie i porzucić obecny postęp?
UIMG/ConfirmNewGame	Rozpocząć nową grę i porzucić obecny postęp?
UIMG/Confirmation	Potwierdź
UIMG/ContinuePlanet	Kontynuuj
UIMG/Demo	Demo
UIMG/Difficulty	Wybierz poziom trudności
UIMG/Done	Gotowe
UIMG/Easy	Łatwy
UIMG/Hard	Trudny
UIMG/Injured	Ranny!
UIMG/InjuredFem	Ranna!
UIMG/Ironman	Tryb ironman
UIMG/IronmanOff	Wył.
UIMG/IronmanOffDesc	Gdy cała banda jest ranna, cofnij się warpem na początek sektora 
UIMG/IronmanOn	Wł.
UIMG/IronmanOnDesc	Gra kończy się, gdy cała banda jest ranna
UIMG/Language	Język
UIMG/MainMenu	Menu główne
UIMG/Mode	Tryb kampanii
UIMG/ModeUnlocked	Odblokowano tryb kampanii proceduralnej.
UIMG/NewCampaign	Nowa kampania
UIMG/NewChallenge	Nowe wyzwanie
UIMG/Next	Dalej
UIMG/Normal	Normalny
UIMG/OK	OK
UIMG/Off	Wył.
UIMG/On	Wł.
UIMG/Options	Opcje
UIMG/Previous	Wstecz
UIMG/QuitGame	Wyjdź z gry
UIMG/RandomCampaign	Proceduralna
UIMG/RandomCampaignDesc	Bez fabuły\nKolejność banitów jest losowa
UIMG/Skip	Pomiń
UIMG/Start	Start
UIMG/SuperIronman	Super
UIMG/SuperIronmanDesc	Gra kończy się, gdy cała banda jest ranna\nBanici nie leczą ran podczas warpów
UIMG/Tutorial	Samouczek
UIMG/TutorialDesc	Pomaga nauczyć się gry
UIMG/VeryEasy	Bardzo łatwy
UIMG/VeryHard	Bardzo trudny
UIEM/Quit	Wyjdź z gry
UIEM/Options	Opcje
UIPM/Continue	Kontynuuj
AI/AI Armadillo	Pancernik
AI/AI Assassin	Zabójca
AI/AI Assassin L2	Regenerujący się zabójca
AI/AI Balloon	Duch
AI/AI Balloon L2	Zawzięty duch
AI/AI BalloonBomber	Grabarz
AI/AI BalloonBomber L2	Płodny grabarz
AI/AI Bear	Grizzly
AI/AI Bear L2	Drażliwy grizzly
AI/AI Bushwhacker	Czatownik
AI/AI Bushwhacker L2	Cichy czatownik
AI/AI Bushwhacker L3	Podstępny czatownik
AI/AI Grenadier	Wysadzacz
AI/AI Grenadier L2	Kasetowy wysadzacz
AI/AI Grenadier L3	Atomowy wysadzacz
AI/AI Guard	Rewolwerowiec
AI/AI Gunhand	Rewolwerowiec
AI/AI Gunhand L2	Wyszkolony rewolwerowiec
AI/AI Gunhand L3	Zaprawiony rewolwerowiec
AI/AI Ironclad	Żelaźniak
AI/AI Ironclad L2	Rakietowy żelaźniak
AI/AI MachineGunner	Korbiarz
AI/AI MachineGunner L2	Ciężki korbiarz
AI/AI Marksman	Łowca
AI/AI Marksman L2	Zabójczy łowca
AI/AI Marksman L3	Skryty łowca
AI/AI Marshal	McNeil
AI/AI Marshal L2	Francisco
AI/AI Marshal L3	Barrabas
AI/AI Marshal L4	Jebediah Chaste
AI/AI Porcupine	Jeżozwierz
AI/AI Porcupine L2	Mściwy jeżozwierz
AI/AI Robot	Skrzynka-pułapka
AI/AI Robot L2	Ruchoma skrzynka-pułapka
AI/AI Scorpion	Żądłak
AI/AI Scorpion L2	Nieuchronny żądłak
AI/AI Servant	Parobek
AI/AI ShieldBearer	Cykor
AI/AI ShieldBearer L2	Umocniony cykor
AI/AI Snake	Grzechotnik
AI/AI Snake L2	Grzechotnik wodny
AI/AI Turret	Lufa
AI/AI Turret L2	Lufa powtarzalna
AI/AI Turret L3	Opancerzona lufa
AI/AI Wolf	Kojot
AI/AI Wolf L2	Niestabilny kojot
AI/AI Wolf L3	Opancerzony kojot
AI/AI Wolf L4	Nieustępliwy kojot
AI/Unknown	Nieznany
AIDesc/AI Assassin	Jednym z niewielu sposobów na tych zabójców jest dopaść ich w trakcie teleportacji.
AIDesc/AI Assassin L2	Zabijaj tę elitę szybko, zanim zdąży się zregenerować.
AIDesc/AI BalloonBomber	Szybko wytrop tych okultystów, zanim przywołają więcej duchów.
AIDesc/AI BalloonBomber L2	Ich mnożące się duchy sprzątniesz bronią szybkostrzelną albo wybuchową.
AIDesc/AI BalloonBomber L3	Płochliwi grabarze to weterani, którzy nauczyli się co jakiś czas zmieniać pozycję, żeby nikt ich nie wytropił po duchach. 
AIDesc/AI Bear	Walcz z daleka, żeby mieć czas na unik przed ich wybuchowymi pociskami z cramm.
AIDesc/AI Bear L2	Rozwścieczonym schodź z drogi. Szał mija po 5 sekundach.
AIDesc/AI Bushwhacker	Idź ostrożnie i nasłuchuj wizgu ich strzelb.
AIDesc/AI Bushwhacker L2	Nadstaw uszu, żeby usłyszeć ich wytłumioną broń.
AIDesc/AI Bushwhacker L3	Ścigaj ich ostrożnie, żeby nie wejść na minę.
AIDesc/AI Grenadier	Bądź gotów się ruszyć, gdy ich dynamit spadnie w pobliżu.
AIDesc/AI Grenadier L2	Podejdź blisko, żeby zdjąć im kamuflaż. Od ich dynamitu trzymaj się dalej niż zwykle, bo rozrzuca bomby.
AIDesc/AI Grenadier L3	Nie wchodź w promieniowanie, zanim się nie rozwieje, i nie licz, że osłoni cię pancerz.
AIDesc/AI Gunhand	Najemni strzelcy, których spotkasz prawie wszędzie. Doskonale trzymają parobków w ryzach, ale doświadczonemu banicie nie dorównują. 
AIDesc/AI Gunhand L2	Twardsi i groźniejsi. Po odrobinie szkolenia myślą, że są panami na grzędzie.
AIDesc/AI Gunhand L3	Brutalni weterani, którym się zdaje, że pancerz zapewni im bezpieczeństwo. Broń szybkostrzelna wyprowadzi ich z błędu.
AIDesc/AI Gunhand L4	Sprytni rewolwerowcy to najwyższy poziom tego wroga. Są groźniejsi i twardsi od słabszych kolegów, a do tego po prostu bystrzejsi.\n\nSprytni rewolwerowcy zwracają uwagę na strzały banitów i chowają głowy, gdy ktoś do nich strzela. Nie wyskoczą wprost pod grad kul – trzeba przerwać ogień i podstępem zmusić ich do wychylenia się. To mocno utrudnia Kaznodziei walkę z nimi.\n\nDo tego sprytni rewolwerowcy reagują na granaty i inne ładunki wybuchowe i uciekają przed nimi. Kaboomowi i paru innym banitom mocno to utrudnia życie, ale pozwala też wykurzać ich materiałami wybuchowymi zza osłon. Bądź wtedy gotów przełączyć się na innego banitę (najlepiej strzelającego na wprost) i dorwać ich w biegu.
AIDesc/AI Ironclad	Trzymaj się z daleka od tych osiłków i szatkuj im pancerz bronią szybkostrzelną.
AIDesc/AI Ironclad L2	Na dystans uważaj na ich rakiety.
AIDesc/AI MachineGunner	Nasłuchuj, jak rozkręcają broń, i kryj się, dopóki nie opróżnią magazynka.
AIDesc/AI MachineGunner L2	Przed ich wybuchową amunicją chroni tylko solidna osłona.
AIDesc/AI MachineGunner L3	Nocni korbiarze to specjaliści wyszkoleni – co za niespodzianka – do akcji nocnych. Dzięki goglom termowizyjnym są po zmroku groźnymi przeciwnikami. W miarę możliwości walcz z nimi za dnia.
AIDesc/AI Marksman	Zostań w osłonie albo ruszaj się, gdy przeładowują, żeby podejść bliżej tych groźnych łowców zwierzyny.
AIDesc/AI Marksman L2	Staraj się nie dać tym zabójcom złapać na otwartym terenie.
AIDesc/AI Marksman L3	Pod silnym ostrzałem ostrożnie trzymają się osłon. W ostateczności uciekają pod osłoną dymu.
AIDesc/AI Marshal	Młody McNeil to niedoświadczony podlec, który chce się wykazać przed ojcem. 
AIDesc/AI Marshal L2	Francisco jest ostrożniejsza, sprytniejsza i twardsza od młodszego brata.
AIDesc/AI Marshal L3	Barrabas to brutal z bezwzględnie skutecznym laserowym wizjerem dużej mocy.
AIDesc/AI Porcupine	Walcz z dystansu, żeby móc unikać kolców, albo użyj materiałów wybuchowych, żeby w ogóle ich nie wypuścić. Trafienia krytyczne nie wyzwalają kolców.
AIDesc/AI Porcupine L2	Ich szybkich kolców unikniesz tylko z dobrym refleksem.
AIDesc/AI Robot	Nie trać czasu na ostrzał, dopóki nie wysuną broni i nie odsłonią środkowej części.
AIDesc/AI Robot L2	Uważaj, te ruchome modele będą cię ścigać.
AIDesc/AI Scorpion	Są małe i trudno w nie trafić – próbuj dopaść je, gdy przebiegają między osłonami. Trucizna zadaje obrażenia z czasem, ale nie wtedy, gdy banita jest wymieniony.
AIDesc/AI Scorpion L2	Przed ich naprowadzanymi strzałami potrzebujesz dobrej osłony.
AIDesc/AI ShieldBearer	Ich tarcza z pola siłowego chroni przed wszystkim poza strzałami dźwiękowymi. Najlepiej zajść ich z flanki albo przerzucić nad tarczą dynamit.
AIDesc/AI ShieldBearer L2	Ich broń dźwiękowa jest tak silna, że odpycha przeciwników, przez co trudniej ich oflankować.
AIDesc/AI ShieldBearer L3	Trzylufowe cykory noszą budzący grozę potrójny uszorwacz. Tę potężną broń opracowano do walk na światach Sierry: przebija pola siłowe i odbiera osłonę wrogom, którzy chowają się za tamtejszymi drzewami z pola siłowego. To, że cykory zaczęły potem strzelać z niej, kryjąc się za tarczami, okazało się dla Karzycieli zbawienne.\n\nPotrójny uszorwacz wystrzeliwuje naraz trzy pociski. Jest nieco mniej celny od jednolufowego poprzednika, ale nadrabia to ilością. \n\nWarto wiedzieć, że pociski dźwiękowe potrójnego uszorwacza są wolniejsze od zwykłych, więc szybcy banici z dobrym refleksem mogą ich uniknąć albo zdążyć się ukryć.\n\nTrzylufowe cykory są też lepiej wyszkolone, więc wyłączają tarcze i zmieniają pozycję niemal bez zwłoki.
AIDesc/AI Snake	Nasłuchuj, jak się zakopują, i wypatruj bryzgów ziemi, gdy wyłażą. Trucizna zadaje obrażenia z czasem, ale nie wtedy, gdy banita jest wymieniony.
AIDesc/AI Snake L2	W wodzie są u siebie, ale groźne są wszędzie.
AIDesc/AI Snake L3	Jadowity grzechotnik wodny przystosował się do życia w toksycznej, skażonej cramm wodzie ze światów bagiennych, a w mniejszych ilościach także z paru innych planet. Jeśli zakładasz, że nie wyskoczy z jeziora albo strumienia, czeka cię przykra niespodzianka.\n\nPrzez to przystosowanie grzechotnik wodny stał się jednak podatny na ogień.
AIDesc/AI Turret	Nieruchoma konstrukcja obronna. Jeśli ją rozpoznasz, zniszcz ją z daleka.
AIDesc/AI Turret L2	Te powtarzalne modele strzegą cennych miejsc i są zabójcze.
AIDesc/AI Turret L3	Z dodatkowym pancerzem tych luf najlepiej unikać.
AIDesc/AI Wolf	Pilnuj flanek i bądź gotów sprzątnąć te tchórzliwe szuje, gdy idą za przywódcą.
AIDesc/AI Wolf L2	Wybuchowa obroża odpada po śmierci.
AIDesc/AI Wolf L3	Nawet trochę pancerza robi z tych zwierzaków spore zagrożenie.
AIDescItem/AI Assassin 1	Teleportuje się
AIDescItem/AI Assassin 2	Seria dwóch strzałów
AIDescItem/AI Assassin L2 1	Regeneruje się
AIDescItem/AI Assassin L2 2	Seria czterech strzałów
AIDescItem/AI BalloonBomber 1	Przywołuje mściwe duchy
AIDescItem/AI BalloonBomber 2	Duchy ścigają i wybuchają
AIDescItem/AI BalloonBomber 3	Ucieka przed flankowaniem
AIDescItem/AI BalloonBomber L2 1	Zniszczone duchy się dzielą
AIDescItem/AI Bear 1	Wolne, wybuchowe strzały
AIDescItem/AI Bear 2	Twardy
AIDescItem/AI Bear L2 1	Ranny wpada w szał
AIDescItem/AI Bushwhacker 1	Zasadzka z bliska
AIDescItem/AI Bushwhacker 2	Słyszalna broń
AIDescItem/AI Bushwhacker 3	Ucieka przed flankowaniem
AIDescItem/AI Bushwhacker L2 1	Wytłumiona broń
AIDescItem/AI Bushwhacker L2 2	Szybsza reakcja
AIDescItem/AI Bushwhacker L3 1	Rozstawia miny
AIDescItem/AI Bushwhacker L3 2	Ucieka przed granatami
AIDescItem/AI Grenadier 1	Rzuca zza osłony
AIDescItem/AI Grenadier 2	Dynamit leci łukiem
AIDescItem/AI Grenadier 3	Ucieka przed flankowaniem
AIDescItem/AI Grenadier L2 1	Dynamit kasetowy
AIDescItem/AI Grenadier L2 2	Płaszcz maskujący
AIDescItem/AI Grenadier L3 1	Radioaktywny dynamit
AIDescItem/AI Grenadier L3 2	Obrażenia omijają osłonę
AIDescItem/AI Grenadier L3 3	Obrażenia omijają pancerz
AIDescItem/AI Gunhand 1	Wychyla się zza osłony
AIDescItem/AI Gunhand 2	Nie walczy na dystans
AIDescItem/AI Gunhand L2 1	Seria dwóch strzałów
AIDescItem/AI Gunhand L2 2	Czasem wychyla się bez strzału
AIDescItem/AI Gunhand L3 1	Opancerzony
AIDescItem/AI Gunhand L3 2	Przenosi się za inną osłonę
AIDescItem/AI Ironclad 1	Ciężki pancerz
AIDescItem/AI Ironclad 2	Bardzo szybki ogień
AIDescItem/AI Ironclad 3	Krótki zasięg
AIDescItem/AI Ironclad L2 1	Dodatkowa wyrzutnia rakiet
AIDescItem/AI MachineGunner 1	Szybki ogień
AIDescItem/AI MachineGunner 2	Opróżnia magazynek
AIDescItem/AI MachineGunner L2 1	Wybuchowe kule
AIDescItem/AI MachineGunner L2 2	Opancerzony
AIDescItem/AI Marksman 1	Bardzo celny
AIDescItem/AI Marksman 2	Wolno strzela
AIDescItem/AI Marksman 3	Ucieka przed walką z bliska
AIDescItem/AI Marksman L2 1	Szybciej przeładowuje
AIDescItem/AI Marksman L2 2	Przenosi się za inną osłonę
AIDescItem/AI Marksman L3 1	Bomba dymna
AIDescItem/AI Marksman L3 2	Da się przygwoździć ogniem
AIDescItem/AI Marshal 1	Szybko jeździ wierzchem
AIDescItem/AI Marshal 2	Naprowadzane strzały
AIDescItem/AI Marshal 3	Co jakiś czas strzela serią
AIDescItem/AI Marshal 4	Ogłuszony po serii
AIDescItem/AI Marshal L2 1	Opancerzona
AIDescItem/AI Marshal L3 1	Wybuchowe naprowadzane strzały
AIDescItem/AI Porcupine 1	Trafiony wypuszcza naprowadzane kolce
AIDescItem/AI Porcupine 2	Krytyki nie wyzwalają kolców
AIDescItem/AI Porcupine 3	Wolny, słaby strzał
AIDescItem/AI Porcupine L2 1	Szybsze, groźniejsze kolce
AIDescItem/AI Robot 1	Zamknięta jest nietykalna
AIDescItem/AI Robot 2	Słaby punkt pośrodku
AIDescItem/AI Robot L2 1	Może się przemieścić
AIDescItem/AI Scorpion 1	Trujący strzał
AIDescItem/AI Scorpion 2	Mały i nieuchwytny
AIDescItem/AI Scorpion 3	Strzela ogonem zza osłony
AIDescItem/AI Scorpion L2 1	Naprowadzany strzał
AIDescItem/AI Scorpion L2 2	Opancerzony
AIDescItem/AI ShieldBearer 1	Tarcza z pola siłowego
AIDescItem/AI ShieldBearer 2	Strzał dźwiękowy przebija pancerz i pola siłowe
AIDescItem/AI ShieldBearer 3	Ucieka przed flankowaniem
AIDescItem/AI ShieldBearer L2 1	Szybszy ogień
AIDescItem/AI ShieldBearer L2 2	Strzał odrzucający
AIDescItem/AI Snake 1	Trujący strzał
AIDescItem/AI Snake 2	Zakopuje się
AIDescItem/AI Snake 3	Hałasuje, gdy wyłazi
AIDescItem/AI Snake L2 1	Atak serią
AIDescItem/AI Snake L2 2	Szybciej się zakopuje
AIDescItem/AI Snake L2 3	Odporny na truciznę
AIDescItem/AI Turret 1	Wygląda jak beczka
