hello_world	Witaj, świecie
level_name_learn_2_move	Naucz się ruszać
level_name_wall_climb	Po ścianie
level_name_mini_recap	Mała powtórka
level_name_get_shooting	Do strzału!
level_name_warping_time	Zakrzywianie czasu
level_name_full_tutorial	Pełny samouczek
level_name_tower	Wieża
level_name_too_hard_for_polygon	Za trudne dla Polygonu
level_name_wall_jump	Odbicie od ściany
level_name_cube_cloud	Chmura sześcianów
level_name_ramp	Rampa
level_name_equilibrium	Równowaga
level_name_pull_and_shoot	Przyciągnij i strzel
level_name_precision	Precyzja
level_name_find_a_name_later	Nazwę się wymyśli
level_name_no_touching	Nie dotykać
level_name_slippery	Ślisko
level_name_fazer	Fazer
level_name_supah_swing	Superhuśtawka
level_name_zartan	Zartan
level_name_building_blocks	Klocki
level_name_red_is_ded	Czerwone to zgon!
level_name_propulzone	PropulZone
level_name_baby_steps	Pierwsze kroki
level_name_death_tower	Wieża śmierci
level_name_blasting_off	Odpalamy
level_name_pressing_buttons	Wciskanie guzików
level_training_01	Słodkie odkrycie
level_training_02	Rury prędkości
level_training_03	Sześciany rozpaczy
Level_Convention_01	Słodkie odkrycie
Level_Convention_02	Rury prędkości
Level_Convention_03	Sześciany rozpaczy
Level_Convention_LD_01	Lecimy grać
Level_Convention_LD_02	Huśtawkowa wieża
Level_Conv_Extra_01	Orzeł
Level_Conv_Extra_02	Odlot
Level_Conv_Extra_03	Fioletowe żyły
level_a0	Tunel
level_a1	Speedy Luke
level_a2	Wir
level_a3	Most
level_a4	Orzeł
level_a5	Szlak
level_a6	W biegu
level_a7	Odlot
level_a8	Pielgrzymka
level_a9	Idź!
level_a10	Skacz!
level_a11	Hak!
level_a12	Kosmooos!
level_a13	Myśl zegarami
level_a14	Big Bank
level_a15	Myśl przyciskami
level_a16	Pustkowie
level_a17	Fioletowe żyły
level_a18	Kora
level_a19	Pif-paf kostka
level_a20	Myśl hakami
level_a21	Mistrz powietrza
level_a22	Klocki
level_a23	Czerwone to zgon!
level_a24	Pierwsze kroki
level_a25	Nawigacja
level_a26	Listowie
level_a27	DNA
level_a28	Bezwładność
level_a29	Naucz się latać
level_a30	Odbicie od ściany
level_a31	Wspinaczka
level_a32	Miejska dżungla
level_a33	Staraj się
level_a34	Jeszcze raz
level_a35	Lecimy grać
level_a36	Huśtawkowa wieża
level_a37	Pokłosie
level_a38	Emulsja
level_a39	Opanuj się
level_a40	Surfing
level_a41	Kuliste ranczo
level_a42	Zabawa palcami
level_a43	La Grange
level_a44	Sześcian śmierci
level_a45	Trening
level_a46	Przejażdżka
level_a47	Brak sił
level_a48	Koma
level_a49	Podciąganie
level_a50	Przyspiesz
level_a51	Apura
level_a52	Ukradkiem
level_a53	Bieg - Strzał - Hak
level_a54	Atleta
level_a55	Gorąco, gorąco
level_a56	Klonk
level_a57	Jo-jo
level_a58	Neo
level_a59	Rabator
level_a60	Gra
level_a61	Stolica
level_a62	Wesołe miasteczko
level_a63	Katakumby
level_a64	Wełna
level_a65	Próba egzekucji
level_a66	Jastrząb
level_a67	Pole
level_a68	Mgła
level_a69	Xitra
level_a69_bis	Rotato
level_a70	Lerap
level_a70_phoenix	Feniks
level_a71	Agresja
level_a72	Parangon
level_a73	Eazywi
level_a74	Wspinanie
level_a75	Otwarte więzienie
level_a77	Ścieżka szkieletów
level_a78	Skupisko
level_a79	Cieśla
level_a82	Gang Drona
level_a83	Shifter Pro
level_m1	Ewakuacja
level_m2	Klasyczny skok wzwyż
level_m3	Sztafeta
level_m4	Zawis
level_f02	Tobledrone
level_f03	Powieś go wyżej
level_f04	Metropolis X
level_f05	Ring Ring
level_f06	Wiejska dżungla
level_f08	Niszczyciel danych
level_f09	Młody mikser powietrza
level_f10	Linia trzynasta
level_f11	Młynek
level_f12	Korony drzew
level_f13	Społeczeństwo w biegu
level_f14	Pudło pudło pudło
level_f15	Wojny haków
level_f16	Przetwarzanie odpadów
level_f17	Kapitan Hak
level_f18	Siła rozpędu
level_f19	U bram
level_f20	Największy Ben
level_f21	Metalowy hak
level_f22	Castle Trashers
level_f23	Beagle
level_f24	cORE
level_f25	Korridor
level_f26	Fabryka fizyki
level_f28	Białe ściany
level_f29	Kręciołek
level_f30	Three 6
level_f31	Converger
level_f32	Slipgate
level_f33	Skorpion
level_f34	JCVD
level_boss_phase_01	NUMERO
PAX_Line_01_00_line_00	Inicjalizacja obiektu
PAX_Line_01_00_line_01	...
PAX_Line_01_00_line_02	Wykryto biegacza
PAX_Line_01_00_line_02_01	Pobieranie nazwy...
PAX_Line_01_00_line_02_02	Znaleziono nazwę = <link="Pause(1)"></link><color="red">{0}</color>
PAX_Line_01_00_line_03	Potencjał... <link="Pause(1)"></link><color="red">nienormalny!</color>
PAX_Line_01_00_line_04	<color="red">Wykryto zagrożenie dla <color=green>Numero</color>!</color>
PAX_Line_01_00_line_05	Odinstalowywanie:
PAX_Line_01_00_line_06	Znajomość map... <link="Pause(1f)"></link>Gotowe
PAX_Line_01_00_line_07	Opanowanie haka... <link="Pause(1f)"></link>Gotowe
PAX_Line_01_00_line_08	Speedrunowe triki... <link="Pause(1f)"></link>Gotowe
PAX_Line_01_00_line_09	Umiejętności progamera... <link="Pause(0.5f)"></link><color="red">Nie znaleziono</color>
PAX_Line_01_00_line_10	Świadomość...<link="Pause(1.2f)"></link> <link="BoxShake(ErrorShake)"></link><link="TypingSound(1,0.08f)"></link><color="red">!!! BŁĄD !!!</color>
PAX_Line_01_00_line_11	<link="TypingSound(1,0.08f)"></link><color="red">Nie można odinstalować świadomości</color>
PAX_Line_01_01_line_00	<link="TypingSound(1,0.08f) + EventTrigger(Glitch)"></link><size=150%>Wykryto nieautoryzowany dostęp!</size>
PAX_Line_01_01_line_01	<link="BoxShake(BigErrorShake)"></link><color="red"><size=150%><link="TypingSound(1,0.08f)"></link>BŁĄD</size></color>
PAX_Line_01_01_line_02	<link="TypingSound(1,0.08f)"></link><size=150%><color="red">Wykryto naruszenie protokołu!</color></size>
PAX_Line_01_01_line_03	<link="TypingSound(1,0.08f)"></link><color="red"><size=150%>ZRZUCIĆ ŁADUNEK <link="EventTrigger(DropPlayer)"></link>SKUR</size></color>
PAX_Line_01_02_line_00	O!
PAX_Line_01_02_line_01	No cześć!
PAX_Line_01_02_line_02	Jestem <color=#0FF>Dron</color>, miło cię poznać!
PAX_Line_01_02_line_03	Pewnie jesteś najnowszym biegaczem złapanym w tę grę.
PAX_Line_01_02_line_04	Skoro udało ci się do mnie dojść, to chyba hakowanie zadziałało.
PAX_Line_01_02_line_05	Ale raczej nie chcesz, żebym opowiadał całą historię tego miejsca.
PAX_Line_01_02_line_06	Więc łap za hak i do dzieła!
PAX_Line_01_03_line_00	Oto twój <link="Floating(0.1f,0.1f) + Rainbow()">CYBER HOOK!</link>
PAX_Line_01_03_line_01	To twój główny sposób poruszania się.
PAX_Line_01_03_line_02	Łapie, przyciąga, huśta, kręci, co tylko chcesz! <link="Pause(0.5f)"></link>Wszystko potrafi!
PAX_Line_01_03_line_03	Obowiązują warunki promocji...
PAX_Line_01_03_line_04	No dalej!<link="Pause(0.5f)"></link> Strzel w ten <color=#0FF>niebieski sześcian</color>, naciskając <sprite name="Hook">
PAX_Line_01_04_mocking miss_line_00	...
PAX_Line_01_04_mocking miss_line_01	Serio, trzy razy pudło?
PAX_Line_01_04_mocking miss_line_02	Po prostu stój i strzelaj, bardzo proszę
PAX_Line_01_05_line_00	Nieźle,
PAX_Line_01_05_line_01	Teraz po prostu <link="Floating()">przytrzymaj</link> <sprite name="Hook">, żeby się do niego przyciągnąć.
PAX_Line_01_06_line_00	A na koniec naciśnij <link="Floating()"><sprite name="Jump"></link>, żeby puścić hak.
PAX_Line_01_07_line_00	Dobra!
PAX_Line_01_07_line_01	Wygląda na to, że po hakowaniu jesteś w całkiem niezłej formie.
PAX_Line_01_07_line_02	A! Zanim pójdziesz!
PAX_Line_01_07_line_03	Zrób mi mały <link="Floating()">podwójny skok</link>, tak na wszelki wypadek.
PAX_Line_01_07_line_04	Naciśnij <link="Floating()"><sprite name="Jump"></link>, żeby skoczyć, i <link="Floating()">jeszcze raz w powietrzu.</link>
PAX_Line_01_08_line_00	No i proszę!
PAX_Line_01_08_line_01	Znasz już wszystkie podstawy przetrwania w tym miejscu.
PAX_Line_01_08_line_02	Reszta to kwestia odrobiny <link="Rainbow()">praktyki!</link>
PAX_Line_01_08_line_03	Kiedy poczujesz się na siłach, <link="EventTrigger(LookAtDoor)"></link>wejdź do <link="Floating() + Rainbow()">tego portalu</link> <link="Pause(1)"></link>i zacznie się prawdziwa zabawa.
PAX_Line_02_00_line_00	A!
PAX_Line_02_00_line_01	Jesteś z powrotem!
PAX_Line_02_00_line_02	<link="EventTrigger(LookSide)"></link>Zobaczmy, jak ci poszło...
PAX_Line_02_01_bad_line_00	...
PAX_Line_02_01_bad_line_01	Hmm...
PAX_Line_02_01_bad_line_02	<link="EventTrigger(LookSide)"></link>Na pewno z czasem pójdzie ci lepiej...
PAX_Line_02_01_good_line_00	Ojej!
PAX_Line_02_01_good_line_01	<link="EventTrigger(LookSide)"></link>Robi wrażenie!
PAX_Line_02_01_good_line_02	Z tobą na pewno damy radę!
PAX_Line_02_01_normal_line_00	Hmm...
PAX_Line_02_01_normal_line_01	<link="EventTrigger(LookSide)"></link>Całkiem nieźle.
PAX_Line_02_01_normal_line_02	A z paroma nowymi technikami pójdzie ci jeszcze lepiej.
PAX_Line_02_02_line_00	W każdym razie,
PAX_Line_02_02_line_01	Chodź tutaj.
PAX_Line_02_02_line_02	Pokażę ci, jak <link="Floating() + Rainbow()">ZAGINAĆ CZAS!</link>
PAX_Line_02_03_line_00	Nooo...
PAX_Line_02_03_line_01	Tak, możesz <link="Floating(0.75f,0.2f)"><color=#0FF>spowolnić czas</color></link>, naciskając <sprite name="Timewarp">
PAX_Line_02_03_line_02	<link="Floating()">Mógłbym</link> wyjaśnić, jak to działa naukowo.
PAX_Line_02_03_line_03	Ale chyba żadnego z nas to nie obchodzi.
PAX_Line_02_03_line_04	No dalej! Naciśnij <link="Floating()"><sprite name="Timewarp"></link>
PAX_Line_02_04_line_00	Fajne, co?!
PAX_Line_02_04_line_01	Pomoże ci naprawiać błędy, a przy okazji daje <color="yellow">odrobinę większy zasięg</color>.
PAX_Line_02_04_line_02	Możesz tu poćwiczyć,
PAX_Line_02_04_line_03	Przeleć przez tę świecącą armatę i użyj w powietrzu <link="Rainbow()">spowolnienia</link>, żeby złapać niebieską platformę pod sobą.<link="EventTrigger(LookAtDoor)"></link>
PAX_Line_03_00_line_00	...
PAX_Line_03_00_line_01	Chodź tutaj, pokażę ci ostatnią rzecz, zanim ruszysz na poważnie.
PAX_Line_03_01_line_00	...
PAX_Line_03_01_line_01	No tak, namierzają cię.
PAX_Line_03_01_line_02	Te zielone sześciany wysyła ktoś inny...
PAX_Line_03_01_line_03	Nie mam czasu dużo tłumaczyć,
PAX_Line_03_01_line_04	Ale wiedz, że te zielone sześciany będą ci blokować drogę.
PAX_Line_03_01_line_05	Kłopot w tym, że nie bardzo mam jak je <link="Shake()">zniszczyć</link>...
PAX_Line_03_01_line_06	Spróbuj nacisnąć jakiś przypadkowy przycisk, na przykład <link="Floating()"><sprite name="Shoot"></link>
PAX_Line_03_02_line_00	nooo...<link="Block()">dobra</link>
PAX_Line_03_02_line_01	To znaczy, spełnia swoje zadanie.
PAX_Line_03_02_line_02	Na pewno pomoże ci przechodzić poziomy.
PAX_Line_03_02_line_03	Dobra, przejdź tylko przez tamtą ścianę z tyłu<link="EventTrigger(LookAtDoor) + Pause(1)"></link> i możesz ruszać.
PAX_Line_04_00_line_00	O!
PAX_Line_04_00_line_01	Tak! Udało ci się dotrzeć aż tutaj!
PAX_Line_04_00_line_02	Niestety to wszystko, co mogę ci teraz pokazać.
PAX_Line_04_00_line_03	Głównie dlatego, że to tylko demo pełnej gry...
PAX_Line_04_00_line_04	Ale możesz <link="Rainbow() + Floating()">dodać Cyber Hook do listy życzeń na Steamie</link>, jeśli jesteś naprawdę miłą osobą :)
PAX_Line_04_00_line_05	I tak oto pada czwarta ściana...
PAX_Line_04_00_line_06	No sorry, ale dalej możesz się bawić na tym poziomie albo wrócić do menu głównego, znajdując portal ukryty w tym centrum!
PAX_Line_04_00_line_07	Wielkie dzięki za grę!
PAX_Line_04_00_line_08	Mam nadzieję, że się podobało :)
ask_apply_settings	Zastosować zmiany?
cancel	Anuluj
option_camera_max_angle	Maks. kąt kamery
option_camera_max_angle_desc	Jak wysoko i jak nisko może się obracać kamera
option_reset_to_default	Przywróć domyślne
option_reset_to_default_button	Przywróć
option_autorelease_hook	Autopuszczanie haka
option_autorelease_hook_desc	Czy hak ma się odczepiać, gdy puścisz przycisk?
option_shadows_active	Cienie
option_shadows_active_desc	Czy gra ma wyświetlać dynamiczne cienie z bliska?
option_anti_aliasing	Wygładzanie krawędzi
option_anti_aliasing_desc	Wygładza obraz, żeby zmniejszyć poszarpane krawędzie.
option_button_Controls	Sterowanie
option_button_Gameplay	Rozgrywka
option_button_Speedrun	Speedrun
option_button_Graphics	Grafika
option_button_Audio	Dźwięk
option_crosshair_size	Rozmiar celownika
option_crosshair_size_desc	Zmienia rozmiar celownika w grze.
option_desc_airdash	Drugi skok w powietrzu
option_desc_hook	Użyj swojego CyberHooka!<br>Najważniejszy przycisk w grze!
option_desc_jump	Rusz swoje leniwe cztery litery
option_desc_move_x_negative	Zwiększa prędkość w ujemnym kierunku osi X względem poziomego obrotu kamery.<br><br><br>Albo po prostu idziesz w lewo.
option_desc_move_x_positive	Zwiększa prędkość w dodatnim kierunku osi X względem poziomego obrotu kamery.<br><br><br>Albo po prostu idziesz w prawo.
option_desc_move_y_negative	Zwiększa prędkość w ujemnym kierunku osi Z względem poziomego obrotu kamery.<br><br><br>Albo po prostu idziesz do tyłu.
option_desc_move_y_positive	Zwiększa prędkość w dodatnim kierunku osi Z względem poziomego obrotu kamery.<br><br><br>Albo po prostu idziesz do przodu.
option_desc_pull	Przyciąga cię na haku i nic więcej...
option_desc_reset	Zacznij poziom od nowa, jeśli masz doła :(
option_desc_retract	Puszcza hak, ale bestia zostaje w tobie.
option_desc_shoot	Popraw im laserowymi paluchami.
option_desc_timewarp	Spowalnia czas, żeby dać ci trochę większy zasięg, a wcale nie dlatego, że ostatni strzał poszedł w pudło.
option_everyframe	Synchronizuj co klatkę
option_everysecondframe	Synchronizuj co drugą klatkę
option_uncapped	Bez limitu
option_fps_144	144 FPS
option_fps_30	30 FPS
option_fps_60	60 FPS
option_fullscreen	Pełny ekran
option_fullscreen_desc	Gra na pełnym ekranie albo w oknie
option_ground_reflexion_quality	Jakość odbić na podłożu
option_ground_reflexion_quality_desc	Rozmiar tekstury, w której liczone są odbicia.
option_ground_reflexions	Odbicia
option_ground_reflexions_desc	Wyświetla odbicia w świecie gry.
option_groundrefexion_1024	1024x1024
option_groundrefexion_2048	2048x2048
option_groundrefexion_256	256x256
option_groundrefexion_512	512x512
option_look_inversion	Odwrócenie osi pionowej
option_look_inversion_desc	Odwraca pionową oś widoku. Tylko dla prawdziwych wariatów!
option_max_fps	Maks. FPS
option_max_fps_desc	Największa liczba klatek na sekundę wyświetlanych przez grę.<br>Nie przyspiesza gry, tylko ogranicza liczbę klatek, żeby nie zużywać niepotrzebnie energii.
option_motion_blur	Rozmycie ruchu
option_motion_blur_desc	Rozmywa obraz przy szybkim ruchu.<br>Pokręć głową jak wariat, żeby poczuć rozmycie ruchu w prawdziwym życiu.
option_nosync	Wyłączona
option_player_name	Nazwa gracza
option_player_name_desc	Będzie widoczna w rankingu.
option_resolution	Rozdzielczość
option_resolution_1280x720	1280x720
option_resolution_1600x900	1600x900
option_resolution_1920x1080	1920x1080
option_resolution_2560x1440	2560x1440
option_resolution_3840x2160	3840x2160
option_resolution_800x600	800x600
option_resolution_desc	Zmienia rozmiar końcowej tekstury obrazu.<br>Większa jest ładniejsza, ale wolniej się renderuje.
option_sensitivity_x	Czułość w poziomie
option_sensitivity_x_desc	Mnożnik szybkości rozglądania się w poziomie.
option_sensitivity_y	Czułość w pionie
option_sensitivity_y_desc	Mnożnik szybkości rozglądania się w pionie
option_title_airdash	Skok w powietrzu
option_title_hook	Hak
option_title_jump	Skok
option_title_move_x_negative	W lewo
option_title_move_x_positive	W prawo
option_title_move_y_negative	Do tyłu
option_title_move_y_positive	Do przodu
option_title_pull	Przyciąganie
option_title_reset	Od nowa
option_title_retract	Zwolnienie haka
option_title_shoot	Strzał
option_title_timewarp	Spowolnienie
option_vertical_sync	Synchronizacja pionowa
option_vertical_sync_desc	Gra poczeka, aż monitor będzie gotowy, zanim wyświetli obraz.<br>Zapobiega tak zwanemu „rwaniu obrazu”.
option_volume_master	Głośność ogólna
option_volume_master_desc	Głośność wszystkiego w grze.
option_volume_music	Głośność muzyki
option_volume_music_desc	Głośność samej muzyki.<br>Nie wpływa na efekty dźwiękowe.
option_volume_sfx	Głośność efektów
option_volume_sfx_desc	Głośność wszystkich efektów w grze.<br><br><size=50%>Czyli wszystkich „bum”, „pif-paf” i „o matko, jaka ta gra trudna”</size>
press_to_cancel	Naciśnij <sprite name="Pause">, żeby anulować
press_to_delete	Naciśnij <sprite name="Cancel">, żeby usunąć
waiting_for_input	Czekam na przycisk
option_language	Język
option_language_desc	Zmienia język gry.
option_en	Polski
option_fr	Francais
option_es	Español
option_de	Deutsch
option_ru	Русский
option_zh	简体中文
option_pt	Português
option_jp	にほんご
option_gyroscope_active	Żyroskop włączony
option_gyroscope_active_desc	Czy celownik ma się ruszać, gdy przechylasz konsolę?
discord_join	Dołącz do innych biegaczy!
option_gyroscope_sensitivity_x	Czułość żyroskopu w poziomie
option_gyroscope_sensitivity_x_desc	Im wyżej, tym dalej żyroskop przesuwa widok w poziomie
option_gyroscope_sensitivity_y	Czułość żyroskopu w pionie
option_gyroscope_sensitivity_y_desc	Im wyżej, tym dalej żyroskop przesuwa widok w pionie
option_fov	Pole widzenia
option_screen_shake	Siła wstrząsów ekranu
option_screen_shake_desc	Zmienia siłę wstrząsów ekranu w grze.
option_fov_desc	Zmienia szerokość pola widzenia gracza.
option_hide_hands	Ukryj dłonie
option_hide_hands_desc	Ukrywa dłonie i hak postaci w grze
option_screen_flash_brightness	Jasność błysku
option_screen_flash_brightness_desc	Zmienia jasność błysku przy śmierci
option_autoskip_levelintro	Pomijaj intro poziomów
option_autoskip_levelintro_desc	Gdy włączone, każdy przelot kamery na początku poziomu zostanie pominięty.<br>Ryzykowne, jeśli nie znasz jeszcze mapy.
option_internet_test	Połącz ponownie z internetem
option_internet_test_desc	Ponawia próbę połączenia z internetem.<br>Potrzebne do wysyłania najlepszych czasów i powtórek, żeby trafić do rankingu.
option_internet_reconnect	Połącz ponownie
internet_connection_lost	Utracono połączenie z internetem!
internet_goto_option	Połącz ponownie w menu opcji
internet_connection_found	Połączono z internetem!
press_any_switch	Naciśnij dowolny przycisk
hold_space_skip	Przytrzymaj <sprite name=Jump>, żeby pominąć
autosave_do_not_quit	Gra zapisuje postępy automatycznie. Nie wychodź z gry ani nie wyłączaj zasilania, gdy widać tę ikonę.
link_discord_account	Połącz konto Discord
world_0	Początek
world_1	Trening
world_2	Wyzwanie
world_3	Mistrzostwo
world_4	Zwątpienie
world_5	Gniew
world_6	Koniec
world_secret_data_breach	WYCIEK DANYCH
world_beta_01	Powrót
world_dlc_01	Powrót
world_dlc_02	Błąd
world_dlc_03	Finał
world_dlc_04	ON
interworld_00_line_00_00	Dobra,
interworld_00_line_00_01	Teraz już powinno ci iść jak z płatka.
interworld_00_line_00_02	Jeśli czujesz, że potrzebujesz więcej treningu, śmiało poćwicz tutaj.
interworld_00_line_00_03	Na pewno spodoba ci się bujanie na haku.
interworld_00_line_00_04	A, jeszcze jedno, zanim pójdziesz!
interworld_00_line_00_05	Pewnie zastanawiasz się, co tu się właściwie dzieje...
interworld_00_line_00_06	Ale tak naprawdę musisz wiedzieć tylko tyle, że trzeba zbierać te małe kryształy na końcu każdego poziomu.
interworld_00_line_00_07	Zasilą portal, którym wrócisz do domu.
interworld_00_line_00_08	I nie martw się o mnie,
interworld_00_line_00_09	Moja robota to pomagać uwięzionym tu ludziom w ucieczce, sam się o ten los trochę prosiłem.
interworld_00_line_00_10	...
interworld_00_line_01_00	A<link="Pause(0.25f)"></link>, hmm<link="Pause(0.25f)"></link>, tak, tym razem naprawdę ostatnia rzecz.
interworld_00_line_01_01	Jeśli chcesz iść dalej, strzel w ten kryształ<link="EventTrigger(LookAtCrystal)"></link>, o tutaj.
interworld_00_line_01_02	Wybierzesz sobie nowe poziomy do zagrania.
interworld_00_line_01_03	Im więcej poziomów przejdziesz, tym więcej kryształów zdobędziesz i tym więcej światów odblokujesz.
interworld_00_line_01_04	No to do dzieła, mistrzu!
interworld_01_line_00_00	No proszę, no proszę!
interworld_01_line_00_01	Świetnie ci idzie,
interworld_01_line_00_02	Oby ta zabawa trwała, aż wrócisz do domu.
interworld_01_line_00_03	Albo aż on nas znajdzie…
interworld_01_line_00_04	ZNACZY SIĘ…
interworld_01_line_00_05	No,<link="Pause(0.3f)"></link> baw się dalej, a resztę zostaw mnie.
interworld_01_line_00_06	Hmmm…
interworld_01_line_00_07	Właściwie to może ci się przydać<link="EventTrigger(ShowWall)"></link>
interworld_01_line_00_08	Widzisz tę ścianę?
interworld_01_line_00_09	Śmiało, podejdź do niej i przytrzymaj <sprite name=Jump>!
interworld_01_line_00_10	Voilà!
interworld_01_line_00_11	Ale z ciebie teraz mały pajączek, co?
interworld_01_line_00_12	Możesz przyczepić się do dowolnej ściany na jak długo chcesz, a nawet <color="yellow">biegać po niej jak po ziemi</color>
interworld_01_line_00_13	Po puszczeniu skoku dostaniesz też mały zastrzyk prędkości i odzyskasz podwójny skok.
interworld_01_line_00_14	No, jak tak o tym mówię.
interworld_01_line_00_15	To brzmi trochę za mocno, nie?
interworld_01_line_00_16	Ale <color=green>on</color> też nie gra fair.
interworld_01_line_00_17	Nieważneee!
interworld_01_line_00_18	Strzel w kryształ i baw się na kolejnych poziomach!
interworld_02_line_00_00	O, jesteś z powrotem!
interworld_02_line_00_01	Cieszę się, że udało ci się przejść te wszystkie poziomy…
interworld_02_line_00_02	Radzisz sobie lepiej niż większość ludzi, którym próbuję pomóc,
interworld_02_line_00_03	Serio, cieszę się razem z tobą!
interworld_02_line_00_04	Czekaj
interworld_02_line_00_05	Nie, coś tu nie gra, nie powinien być tak blisko.
interworld_02_line_00_06	Hmm, graj dalej
interworld_02_line_00_07	Niedługo powinienem mieć dla ciebie więcej informacji,
interworld_02_line_00_08	Po prostu się tym nie przejmuj.
interworld_03_line_00_00	O, jesteś, super.
